gender,quoteID,topic
male,2015-10-02-055672,guiding-human-rights-victims-toward-help
female,2015-11-30-103188,2015-paris-climate-talks
male,2015-07-31-104433,us
male,2015-07-31-090929,asia
male,2015-07-27-019487,deliveroo-an-on-demand-food-delivery-service-raises-70-million
female,2015-08-18-030590,what-would-you-pay-for-this-meal
male,2015-12-22-009215,international
male,2015-07-31-011862,baseball
female,2015-12-31-071909,nyregion
male,2015-10-06-110937,nobel-china-medicine-tu-youyou-prize
male,2015-08-10-088480,as-print-fades-part-1-live-journalism-at-the-times
male,2015-08-27-039781,after-katrina-man-and-water-in-louisiana
male,2015-11-02-017917,sap-chief-mcdermott-embarks-on-health-care-push-after-losing-his-eye
male,2015-08-08-051680,what-were-reading-79
female,2015-08-05-023459,following-netflix-microsoft-sweetens-parental-leave-benefits
male,2015-04-01-059448,cambodian-historians-call-for-china-to-confront-its-own-past
male,2015-12-26-030181,nyregion
male,2015-12-14-122581,stephen-wolfram-seeks-to-democratize-his-software
male,2015-08-06-074929,does-america-still-believe-in-diplomacy
male,2015-07-31-017111,us
male,2015-07-31-102014,nyregion
male,2015-08-06-038760,republican-debate-election-2016-cleveland
male,2015-07-31-100955,middleeast
female,2015-12-27-011991,us
male,2015-08-27-138592,after-katrina-man-and-water-in-louisiana
female,2015-07-31-082708,sports
male,2015-10-04-050200,business-technology-starts-to-get-personal
male,2015-08-15-001971,google-unveils-new-chrome-operating-system-for-business-customers
male,2015-12-24-059223,middleeast
male,2015-10-26-012043,lego-ai-weiwei-political-donations
male,2015-11-02-098821,sap-chief-mcdermott-embarks-on-health-care-push-after-losing-his-eye
male,2015-07-19-067934,starring-on-broadway-obama-and-alexander-hamilton
male,2015-07-31-113285,us
male,2015-07-24-122969,new-york-today-love-in-the-hot-season
male,2015-12-31-075976,football
male,2015-09-22-111902,nyregion
male,2015-07-25-040132,reading-list-carrie-brownstein
male,2015-08-03-055361,masters-of-sex-recap-for-virginia-and-us-its-all-about-a-certain-desire
female,2015-07-31-101280,arts
female,2015-07-25-001601,reading-list-carrie-brownstein
male,2015-12-27-015023,movies
male,2015-10-20-118843,rescuing-discarded-images-of-everyday-black-life
female,2015-03-07-036378,fall-2015
